address,info,price,rtype,sqr,dir,dec,heights,built,btype,price_per_sqr
南园小区 ,2室1厅 | 72.97平米 | 南 西南 | 简装 | 中楼层(共29层) | 1994年建 | 塔楼,5500000.0,2室1厅 , 72.97平米 , 南 西南 , 简装 , 中楼层(共29层) , 1994年建 , 塔楼,75374
蒙自新村 ,2室1厅 | 56.82平米 | 东南 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,5350000.0,2室1厅 , 56.82平米 , 东南 , 精装 , 中楼层(共7层) , 1988年建 , 板楼,94157
局后小区 ,1室0厅 | 35.48平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,3500000.0,1室0厅 , 35.48平米 , 南 , 精装 , 低楼层(共6层) , 1982年建 , 板楼,98648
新华南园大厦 ,2室1厅 | 85.62平米 | 南 | 简装 | 高楼层(共31层) | 2004年建 | 塔楼,7100000.0,2室1厅 , 85.62平米 , 南 , 简装 , 高楼层(共31层) , 2004年建 , 塔楼,82925
南园新村 ,1室1厅 | 34.31平米 | 东南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,3550000.0,1室1厅 , 34.31平米 , 东南 , 简装 , 高楼层(共6层) , 1988年建 , 板楼,103469
瑞雪大楼 ,1室1厅 | 38.91平米 | 南 | 精装 | 17层 | 1991年建 | 塔楼,5200000.0,1室1厅 , 38.91平米 , 南 , 精装 , 17层 , 1991年建 , 塔楼,133642
黄家小区 ,1室0厅 | 24.39平米 | 北 | 精装 | 高楼层(共7层) | 1990年建 | 板楼,2780000.0,1室0厅 , 24.39平米 , 北 , 精装 , 高楼层(共7层) , 1990年建 , 板楼,113982
大同花园南区 ,2室2厅 | 105.76平米 | 南 | 简装 | 13层 | 1999年建 | 板楼,10900000.0,2室2厅 , 105.76平米 , 南 , 简装 , 13层 , 1999年建 , 板楼,103064
中福花苑 ,1室1厅 | 42.46平米 | 北 | 精装 | 高楼层(共15层) | 2003年建 | 塔楼,4480000.0,1室1厅 , 42.46平米 , 北 , 精装 , 高楼层(共15层) , 2003年建 , 塔楼,105512
南园小区 ,2室1厅 | 66.25平米 | 西南 | 简装 | 高楼层(共29层) | 1992年建 | 塔楼,6590000.0,2室1厅 , 66.25平米 , 西南 , 简装 , 高楼层(共29层) , 1992年建 , 塔楼,99472
海潮新村 ,1室0厅 | 27.17平米 | 南 西南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,2990000.0,1室0厅 , 27.17平米 , 南 西南 , 精装 , 中楼层(共6层) , 1992年建 , 板楼,110048
西凌新邨 ,1室1厅 | 32.73平米 | 南 | 毛坯 | 低楼层(共7层) | 1992年建 | 板楼,3580000.0,1室1厅 , 32.73平米 , 南 , 毛坯 , 低楼层(共7层) , 1992年建 , 板楼,109380
中福浦江汇 ,2室1厅 | 69.45平米 | 南 | 精装 | 中楼层(共22层) | 2014年建 | 板楼,8900000.0,2室1厅 , 69.45平米 , 南 , 精装 , 中楼层(共22层) , 2014年建 , 板楼,128150
瞿溪路937弄 ,1室1厅 | 29.11平米 | 南 | 毛坯 | 中楼层(共6层) | 1999年建 | 板楼,2650000.0,1室1厅 , 29.11平米 , 南 , 毛坯 , 中楼层(共6层) , 1999年建 , 板楼,91035
上海滩花园 ,2室2厅 | 120.61平米 | 南 北 | 精装 | 31层 | 2007年建 | 板楼,20300000.0,2室2厅 , 120.61平米 , 南 北 , 精装 , 31层 , 2007年建 , 板楼,168312
上海滩新昌城 ,1室1厅 | 60.9平米 | 南 | 精装 | 低楼层(共25层) | 2006年建 | 板楼,9390000.0,1室1厅 , 60.9平米 , 南 , 精装 , 低楼层(共25层) , 2006年建 , 板楼,154188
郁金香花苑 ,4室2厅 | 196.44平米 | 南 北 | 精装 | 低楼层(共11层) | 1999年建 | 板楼,18800000.0,4室2厅 , 196.44平米 , 南 北 , 精装 , 低楼层(共11层) , 1999年建 , 板楼,95704
越纪公寓 ,2室0厅 | 75.78平米 | 东 | 简装 | 高楼层(共25层) | 1992年建 | 板塔结合,8390000.0,2室0厅 , 75.78平米 , 东 , 简装 , 高楼层(共25层) , 1992年建 , 板塔结合,110716
西凌新邨 ,2室0厅 | 50.1平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,6280000.0,2室0厅 , 50.1平米 , 南 , 精装 , 高楼层(共7层) , 1991年建 , 板楼,125350
海丽花园 ,3室2厅 | 111.92平米 | 东南 | 简装 | 中楼层(共33层) | 1997年建 | 板塔结合,11800000.0,3室2厅 , 111.92平米 , 东南 , 简装 , 中楼层(共33层) , 1997年建 , 板塔结合,105433
明日星城(二期、三期) ,2室2厅 | 99.14平米 | 南 | 精装 | 高楼层(共23层) | 2005年建 | 板楼,12500000.0,2室2厅 , 99.14平米 , 南 , 精装 , 高楼层(共23层) , 2005年建 , 板楼,126085
黄浦新苑西区 ,3室1厅 | 127.11平米 | 南 | 精装 | 低楼层(共28层) | 2001年建 | 板楼,15500000.0,3室1厅 , 127.11平米 , 南 , 精装 , 低楼层(共28层) , 2001年建 , 板楼,121942
绿城黄浦湾 ,4室2厅 | 331.68平米 | 南 | 精装 | 中楼层(共28层) | 2012年建 | 板楼,69000000.0,4室2厅 , 331.68平米 , 南 , 精装 , 中楼层(共28层) , 2012年建 , 板楼,208032
国际广场(卢湾) ,3室2厅 | 153平米 | 西北 | 简装 | 中楼层(共28层) | 1997年建 | 塔楼,13000000.0,3室2厅 , 153平米 , 西北 , 简装 , 中楼层(共28层) , 1997年建 , 塔楼,84968
金中苑 ,3室1厅 | 102.13平米 | 南 | 精装 | 中楼层(共23层) | 1997年建 | 塔楼,11000000.0,3室1厅 , 102.13平米 , 南 , 精装 , 中楼层(共23层) , 1997年建 , 塔楼,107706
黄浦丽园 ,3室1厅 | 109.87平米 | 东南 | 精装 | 中楼层(共24层) | 2008年建 | 板楼,16000000.0,3室1厅 , 109.87平米 , 东南 , 精装 , 中楼层(共24层) , 2008年建 , 板楼,145627
