address,sqr,price,type,dir,renttype
北京东路375-395号,42.51,7500.0,2室1厅,东/北,整租
瑞福小区,62.63,8530.0,2室1厅,南,整租
卢湾都市花园,63.73,9500.0,1室2厅,南,整租
丽园新村,35.79,6090.0,1室1厅,南,整租
铁道路776弄,35.00,4500.0,1室0厅,南,整租
东方苑,122.00,12330.0,2室1厅,南,整租
巨鹿路374弄,38.62,7500.0,1室1厅,南,整租
瞿溪路937弄,29.38,4390.0,1室1厅,南,整租
丽丽小区,37.75,5800.0,1室1厅,南,整租
蒙西小区,36.60,6030.0,1室1厅,南,整租
联海小区,36.79,6000.0,1室1厅,南,整租
东淮海公寓,72.58,12760.0,2室1厅,南,整租
绍兴路56弄-60号,13.00,4200.0,1室1厅,北,整租
中福浦江汇,65.00,10730.0,2室1厅,南,整租
巨鹿路374弄,38.37,7300.0,1室1厅,南,整租
中福花苑,40.31,6300.0,1室1厅,南,整租
斜桥新村,42.17,5500.0,1室1厅,西南,整租
嘉登公寓,75.00,10960.0,2室1厅,南,整租
中福花苑,42.46,6700.0,1室1厅,北,整租
中福花苑,42.46,7400.0,1室1厅,东,整租
大林大楼,62.69,8400.0,2室1厅,南,整租
中福浦江汇,62.22,9930.0,2室1厅,西南,整租
海南西弄,50.36,8000.0,2室1厅,南,整租
制造局后街24-28号,48.00,6190.0,1室1厅,南,整租
茂名坊,44.10,8500.0,1室1厅,南,整租
南陆大厦,83.32,8760.0,2室1厅,南,整租
局门路573弄,38.63,6300.0,1室1厅,南,整租
华丽家族汇景天地(商业类),60.00,8720.0,1室1厅,北,整租
市民新村,14.90,4200.0,1室1厅,东/西,整租
阳光翠竹苑,80.28,11530.0,2室1厅,西南,整租
南园新村,50.00,6200.0,1室1厅,东南,整租
北蒙三小区,42.60,6013.0,1室1厅,东,整租
长新大楼,41.00,6300.0,1室1厅,北,整租
中福花苑,42.46,6760.0,1室1厅,南,整租
北蒙三小区,34.40,5800.0,1室1厅,南,整租
瑞雪大楼,60.05,8890.0,2室1厅,南,整租
济南路8号,108.12,25000.0,2室1厅,东/北,整租
豫景公寓,69.07,9630.0,1室1厅,东,整租
中福花苑,42.46,7000.0,1室1厅,西,整租
打浦路210弄,29.33,5290.0,1室1厅,东,整租
黄浦华庭,123.94,17500.0,2室2厅,南/北,整租
重庆大楼,35.00,6930.0,1室1厅,西,整租
上海滩花园,145.78,23000.0,3室2厅,南/北,整租
光启路105号,26.55,4290.0,1室1厅,南,整租
北蒙三小区,34.20,7000.0,1室0厅,东南,整租
马当小区,62.09,10000.0,1室1厅,南,整租
斜土路723弄,37.84,5700.0,1室1厅,南,整租
打浦路339弄,30.00,4790.0,1室1厅,南,整租
秀水苑(黄浦),88.75,10000.0,3室1厅,东,整租
中福城,81.41,11500.0,2室1厅,南,整租
淮海大厦,100.13,16000.0,2室1厅,南,整租
北蒙三小区,38.20,7430.0,1室1厅,南,整租
华丽家族汇景天地(商业类),70.35,7350.0,1室1厅,西南,整租
金中苑,79.59,9330.0,2室1厅,南,整租
瑞金二路24号,60.40,9500.0,2室1厅,东南/南,整租
大众汽车公寓,34.23,4890.0,1室1厅,南,整租
黄浦新苑西区,98.75,15000.0,2室2厅,南,整租
南园小区,64.52,7690.0,2室1厅,东,整租
中福城,93.55,17800.0,2室1厅,南/北,整租
平和里,38.30,6660.0,1室1厅,南,整租
淞园大厦,117.77,14000.0,3室2厅,东南/南,整租
东元坊,70.00,10117.0,2室1厅,南,整租
新世纪大厦,40.91,6300.0,1室0厅,东/东南,整租
南园新村,44.04,6295.0,2室1厅,南,整租
翠湖天地隽荟,172.00,58000.0,3室2厅,南,整租
淮海大厦,77.42,12490.0,2室1厅,南,整租
南塘浜路123弄,34.87,5600.0,1室1厅,南,整租
中福花苑,42.99,6730.0,1室1厅,北,整租
桥一小区,34.00,5800.0,1室0厅,南,整租
打浦路303弄,27.87,4490.0,1室1厅,南,整租
福海公寓,153.28,20000.0,3室2厅,南,整租
南园小区,66.50,8590.0,2室1厅,南,整租
中南小区,96.05,12000.0,2室2厅,南,整租
新华南园大厦,75.46,6490.0,1室1厅,南,整租
思南公寓,151.24,18800.0,2室2厅,南,整租
锦麟天地雅苑,162.96,45000.0,3室2厅,西,整租
西凌新邨,65.76,7800.0,2室1厅,南,整租
黄浦新苑西区,90.82,11530.0,2室1厅,南,整租
北蒙三小区,45.80,7300.0,1室1厅,南,整租
复兴珑御一期,243.12,46000.0,3室2厅,南,整租
唐城公寓,184.53,20000.0,4室2厅,东南/南,整租
中山南一路1043弄,45.10,6660.0,2室1厅,南,整租
打浦路339弄,27.89,4300.0,1室1厅,南,整租
中福花苑,48.65,7168.0,1室1厅,西北,整租
协和里,21.70,2900.0,1室0厅,南,整租
越纪公寓,55.15,6690.0,1室1厅,西,整租
花园公寓(卢湾),23.00,6200.0,1室1厅,南,整租
桥一小区,30.14,4830.0,1室1厅,南,整租
南园新村,24.81,4500.0,1室0厅,南,整租
中福花苑,40.31,6760.0,1室1厅,南,整租
中南小区,96.05,12000.0,2室2厅,南,整租
北蒙三小区,45.80,7300.0,1室1厅,南,整租
唐城公寓,184.53,20000.0,4室2厅,东南/南,整租
打浦路339弄,27.89,4300.0,1室1厅,南,整租
协和里,21.70,2900.0,1室0厅,南,整租
花园公寓(卢湾),23.00,6200.0,1室1厅,南,整租
南园新村,24.81,4500.0,1室0厅,南,整租
南康公寓,51.51,7800.0,1室1厅,南,整租
连云大楼,58.39,8200.0,1室1厅,南,整租
巴黎公寓,74.17,10800.0,2室1厅,南,整租
人民大楼,56.54,12000.0,2室1厅,东南/南,整租
黄浦滩名苑,142.10,24000.0,2室2厅,南,整租
金色家园,131.55,17000.0,2室2厅,南,整租
绿城黄浦湾,331.00,55000.0,4室2厅,南,整租
日月光中心伯爵居,72.73,11000.0,1室2厅,南,整租
陕西南路271弄,35.70,6800.0,1室1厅,南,整租
陕西南路271弄,100.00,13900.0,3室1厅,南,整租
滨江名人苑,130.57,18500.0,2室2厅,南/北,整租
